Sku_Code,Item_Number,Item_Name,Sales_Price,Product_Group,Business_Area,Dns,Item,Color_Code,Size,Procurement_Group,Color_Name,Color_Code,Heel_Type,Occasion,Shoe_Type,Description
118-10001-17-9,118-10001-125,118-10001 DN-17-BLUE/NAVY_9_A,1995,US,OTR,118,10001,17,9,410,BLUE/NAVY,DN,N/A,Womens Bags,backpack,Navy
118-10001-18-10,118-10001-126,118-10001 E-18-RED_10_A,1995,US,OTR,118,10001,18,10,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-18-11,118-10001-127,118-10001 E-18-RED_11_A,1995,US,OTR,118,10001,18,11,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-18-12,118-10001-128,118-10001 E-18-RED_12_A,1995,US,OTR,118,10001,18,12,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-18-13,118-10001-129,118-10001 E-18-RED_13_A,1995,US,OTR,118,10001,18,13,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-18-4,118-10001-130,118-10001 E-18-RED_4_A,1995,US,OTR,118,10001,18,4,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-18-5,118-10001-131,118-10001 E-18-RED_5_A,1995,US,OTR,118,10001,18,5,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-18-6,118-10001-132,118-10001 E-18-RED_6_A,1995,US,OTR,118,10001,18,6,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-18-7,118-10001-133,118-10001 E-18-RED_7_A,1995,US,OTR,118,10001,18,7,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-18-8,118-10001-134,118-10001 E-18-RED_8_A,1995,US,OTR,118,10001,18,8,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-18-9,118-10001-135,118-10001 E-18-RED_9_A,1995,US,OTR,118,10001,18,9,6EN,RED,E,N/A,Womens Bags,backpack,Pepper
118-10001-11-10,118-10001-136,118-10001 C-11-BLACK_10_E,1995,US,OTR,118,10001,11,10,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-4,118-10001-137,118-10001 C-11-BLACK_4_E,1995,US,OTR,118,10001,11,4,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-5,118-10001-138,118-10001 C-11-BLACK_5_E,1995,US,OTR,118,10001,11,5,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-6,118-10001-139,118-10001 C-11-BLACK_6_E,1995,US,OTR,118,10001,11,6,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-7,118-10001-140,118-10001 C-11-BLACK_7_E,1995,US,OTR,118,10001,11,7,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-8,118-10001-141,118-10001 C-11-BLACK_8_E,1995,US,OTR,118,10001,11,8,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-9,118-10001-142,118-10001 C-11-BLACK_9_E,1995,US,OTR,118,10001,11,9,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-62-9,118-10001-143,118-10001 KHK-62-KHAKI_9_E,1995,us,OTR,118,10001,62,9,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-62-8,118-10001-144,118-10001 KHK-62-KHAKI_8_E,1995,US,OTR,118,10001,62,8,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-60-10,118-10001-145,118-10001 LH-60-LIGHTGREEN_10_,1995,US,OTR,118,10001,60,10,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
118-10001-60-11,118-10001-146,118-10001 LH-60-LIGHTGREEN_11_,1995,US,OTR,118,10001,60,11,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
118-10001-60-12,118-10001-147,118-10001 LH-60-LIGHTGREEN_12_,1995,US,OTR,118,10001,60,12,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
118-10001-60-13,118-10001-148,118-10001 LH-60-LIGHTGREEN_13_,1995,US,OTR,118,10001,60,13,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
118-10001-60-14,118-10001-149,118-10001 LH-60-LIGHTGREEN_14_,1995,US,OTR,118,10001,60,14,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
118-10001-60-15,118-10001-150,118-10001 LH-60-LIGHTGREEN_15_,1995,US,OTR,118,10001,60,15,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
118-10001-60-16,118-10001-151,118-10001 LH-60-LIGHTGREEN_16_,1995,US,OTR,118,10001,60,16,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
118-10001-60-17,118-10001-152,118-10001 LH-60-LIGHTGREEN_17_,1995,US,OTR,118,10001,60,17,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
118-10001-60-4,118-10001-153,118-10001 LH-60-LIGHTGREEN_4_A,1995,US,OTR,118,10001,60,4,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
118-10001-60-5,118-10001-154,118-10001 LH-60-LIGHTGREEN_5_A,1995,US,OTR,118,10001,60,5,3N9,LIGHTGREEN,LH,N/A,Womens Bags,backpack,Tropical Teal
